depth,gamma_api,density_gcc,resistivity_ohmm,lithology_code,lithology_source
17.5,72.54,2.099,63.632,SLUDGE,SLUDGE
18.0,72.988,2.099,63.314,SLUDGE,SLUDGE
18.5,73.459,2.098,62.966,SLUDGE,SLUDGE
19.0,73.941,2.097,62.589,SLUDGE,SLUDGE
19.5,74.42,2.096,62.185,SLUDGE,SLUDGE
20.0,74.882,2.095,61.755,SLUDGE,SLUDGE
20.5,75.315,2.094,61.3,SLUDGE,SLUDGE
21.0,75.707,2.093,60.823,SLUDGE,SLUDGE
21.5,76.045,2.092,60.325,SLUDGE,SLUDGE
22.0,76.321,2.09,59.808,SLUDGE,SLUDGE
22.5,76.525,2.089,59.274,SLUDGE,SLUDGE
23.0,76.652,2.087,58.724,SLUDGE,SLUDGE
23.5,76.696,2.086,58.161,SLUDGE,SLUDGE
24.0,76.656,2.084,57.586,SLUDGE,SLUDGE
24.5,76.531,2.082,57.002,SLUDGE,SLUDGE
25.0,76.324,2.08,56.411,SLUDGE,SLUDGE
25.5,76.038,2.078,55.815,SLUDGE,SLUDGE
26.0,75.68,2.076,55.216,SLUDGE,SLUDGE
26.5,75.259,2.074,54.616,SLUDGE,SLUDGE
27.0,74.783,2.071,54.018,SLUDGE,SLUDGE
27.5,74.265,2.069,53.423,SLUDGE,SLUDGE
28.0,73.716,2.067,52.833,SLUDGE,SLUDGE
28.5,73.15,2.064,52.252,SLUDGE,SLUDGE
29.0,72.58,2.062,51.68,SLUDGE,SLUDGE
29.5,72.019,2.06,51.12,SLUDGE,SLUDGE
30.0,71.482,2.057,50.575,SLUDGE,SLUDGE
30.5,70.98,2.055,50.045,SLUDGE,SLUDGE
31.0,70.526,2.052,49.533,SLUDGE,SLUDGE
31.5,70.129,2.05,49.041,SLUDGE,SLUDGE
32.0,69.797,2.047,48.57,SLUDGE,SLUDGE
32.5,69.539,2.045,48.122,SLUDGE,SLUDGE
33.0,69.358,2.042,47.699,SLUDGE,SLUDGE
33.5,64.258,2.389,66.582,SST,SANDSTONE
34.0,64.238,2.386,66.89,SST,SANDSTONE
34.5,64.298,2.384,67.261,SST,SANDSTONE
35.0,64.433,2.381,67.693,SST,SANDSTONE
35.5,64.637,2.379,68.182,SST,SANDSTONE
36.0,64.902,2.376,68.727,SST,SANDSTONE
36.5,65.22,2.374,69.324,SST,SANDSTONE
37.0,65.579,2.372,69.969,SST,SANDSTONE
37.5,65.967,2.37,70.66,SST,SANDSTONE
38.0,66.371,2.368,71.392,SST,SANDSTONE
38.5,66.779,2.367,72.161,SST,SANDSTONE
39.0,67.177,2.365,72.963,SST,SANDSTONE
39.5,67.552,2.364,73.793,SST,SANDSTONE
40.0,67.891,2.363,74.647,SST,SANDSTONE
40.5,68.184,2.362,75.52,SST,SANDSTONE
41.0,68.421,2.361,76.406,SST,SANDSTONE
41.5,68.593,2.361,77.302,SST,SANDSTONE
42.0,68.694,2.36,78.202,SST,SANDSTONE
42.5,68.718,2.36,79.1,SST,SANDSTONE
43.0,68.664,2.36,79.993,SST,SANDSTONE
43.5,68.532,2.36,80.874,SST,SANDSTONE
44.0,68.323,2.36,81.738,SST,SANDSTONE
44.5,68.041,2.361,82.582,SST,SANDSTONE
45.0,67.692,2.362,83.401,SST,SANDSTONE
45.5,67.286,2.363,84.188,SST,SANDSTONE
46.0,66.83,2.364,84.941,SST,SANDSTONE
46.5,66.337,2.365,85.655,SST,SANDSTONE
47.0,65.818,2.366,86.326,SST,SANDSTONE
47.5,65.287,2.368,86.95,SST,SANDSTONE
48.0,64.757,2.369,87.524,SST,SANDSTONE
48.5,64.241,2.371,88.044,SST,SANDSTONE
49.0,63.753,2.373,88.508,SST,SANDSTONE
49.5,63.306,2.375,88.913,SST,SANDSTONE
50.0,62.91,2.378,89.256,SST,SANDSTONE
50.5,62.575,2.38,89.536,SST,SANDSTONE
51.0,62.312,2.383,89.751,SST,SANDSTONE
51.5,62.126,2.385,89.9,SST,SANDSTONE
52.0,62.022,2.388,89.983,SST,SANDSTONE
52.5,62.003,2.391,89.997,SST,SANDSTONE
53.0,62.07,2.394,89.945,SST,SANDSTONE
53.5,62.22,2.397,89.825,SST,SANDSTONE
54.0,62.451,2.4,89.639,SST,SANDSTONE
54.5,62.755,2.403,89.387,SST,SANDSTONE
55.0,63.125,2.406,89.071,SST,SANDSTONE
55.5,63.551,2.409,88.693,SST,SANDSTONE
56.0,64.023,2.413,88.255,SST,SANDSTONE
56.5,64.528,2.416,87.759,SST,SANDSTONE
57.0,65.053,2.419,87.209,SST,SANDSTONE
57.5,65.586,2.423,86.606,SST,SANDSTONE
58.0,66.111,2.426,85.956,SST,SANDSTONE
58.5,66.617,2.429,85.26,SST,SANDSTONE
59.0,67.091,2.432,84.524,SST,SANDSTONE
59.5,67.52,2.436,83.751,SST,SANDSTONE
60.0,67.895,2.439,82.945,SST,SANDSTONE
60.5,68.207,2.442,82.112,SST,SANDSTONE
61.0,68.449,2.445,81.256,SST,SANDSTONE
61.5,68.616,2.448,80.381,SST,SANDSTONE
62.0,68.704,2.451,79.493,SST,SANDSTONE
62.5,68.714,2.453,78.597,SST,SANDSTONE
63.0,68.646,2.456,77.697,SST,SANDSTONE
63.5,68.505,2.459,76.799,SST,SANDSTONE
64.0,68.296,2.461,75.908,SST,SANDSTONE
64.5,68.026,2.464,75.029,SST,SANDSTONE
65.0,67.706,2.466,74.166,SST,SANDSTONE
65.5,67.345,2.468,73.325,SST,SANDSTONE
66.0,66.956,2.47,72.51,SST,SANDSTONE
66.5,66.551,2.471,71.725,SST,SANDSTONE
67.0,66.143,2.473,70.977,SST,SANDSTONE
67.5,65.746,2.475,70.267,SST,SANDSTONE
68.0,65.373,2.476,69.602,SST,SANDSTONE
68.5,65.036,2.477,68.983,SST,SANDSTONE
69.0,64.746,2.478,68.415,SST,SANDSTONE
69.5,64.514,2.479,67.901,SST,SANDSTONE
70.0,64.348,2.479,67.444,SST,SANDSTONE
70.5,64.255,2.48,67.046,SST,SANDSTONE
71.0,64.239,2.48,66.709,SST,SANDSTONE
71.5,64.304,2.48,66.437,SST,SANDSTONE
72.0,64.45,2.48,66.229,SST,SANDSTONE
72.5,64.674,2.48,66.087,SST,SANDSTONE
73.0,64.974,2.479,66.012,SST,SANDSTONE
73.5,65.344,2.478,66.005,SST,SANDSTONE
74.0,65.774,2.478,66.065,SST,SANDSTONE
74.5,66.257,2.477,66.193,SST,SANDSTONE
75.0,66.78,2.475,66.386,SST,SANDSTONE
75.5,67.331,2.474,66.645,SST,SANDSTONE
76.0,67.899,2.472,66.968,SST,SANDSTONE
76.5,68.468,2.471,67.353,SST,SANDSTONE
77.0,69.026,2.469,67.798,SST,SANDSTONE
77.5,69.56,2.467,68.3,SST,SANDSTONE
78.0,70.056,2.465,68.856,SST,SANDSTONE
78.5,70.502,2.463,69.464,SST,SANDSTONE
79.0,70.889,2.46,70.12,SST,SANDSTONE
79.5,71.208,2.458,70.82,SST,SANDSTONE
80.0,71.45,2.455,71.561,SST,SANDSTONE
80.5,71.612,2.452,72.338,SST,SANDSTONE
81.0,71.689,2.45,73.147,SST,SANDSTONE
81.5,71.682,2.447,73.983,SST,SANDSTONE
82.0,35.626,1.44,146.791,SST,SANDSTONE
82.5,36.46,1.44,146.999,SST,SANDSTONE
83.0,36.937,1.44,146.728,SST,SANDSTONE
83.5,36.939,1.438,145.99,SST,SANDSTONE
84.0,36.466,1.436,144.813,SST,SANDSTONE
84.5,35.635,1.434,143.245,SST,SANDSTONE
85.0,34.648,1.431,141.349,SST,SANDSTONE
85.5,33.747,1.427,139.199,SST,SANDSTONE
86.0,33.153,1.423,136.882,SST,SANDSTONE
86.5,68.193,2.415,82.768,SST,SANDSTONE
87.0,67.733,2.411,83.58,SST,SANDSTONE
87.5,67.304,2.408,84.36,SST,SANDSTONE
88.0,66.917,2.405,85.105,SST,SANDSTONE
88.5,66.582,2.402,85.81,SST,SANDSTONE
89.0,66.308,2.399,86.47,SST,SANDSTONE
89.5,66.103,2.396,87.083,SST,SANDSTONE
90.0,65.971,2.393,87.645,SST,SANDSTONE
90.5,65.916,2.39,88.153,SST,SANDSTONE
91.0,65.939,2.387,88.604,SST,SANDSTONE
91.5,66.038,2.384,88.995,SST,SANDSTONE
92.0,66.21,2.382,89.324,SST,SANDSTONE
92.5,66.449,2.379,89.59,SST,SANDSTONE
93.0,66.748,2.377,89.79,SST,SANDSTONE
93.5,67.098,2.375,89.925,SST,SANDSTONE
94.0,67.487,2.372,89.992,SST,SANDSTONE
94.5,67.904,2.37,89.991,SST,SANDSTONE
95.0,68.337,2.369,89.924,SST,SANDSTONE
95.5,68.772,2.367,89.789,SST,SANDSTONE
96.0,69.196,2.366,89.588,SST,SANDSTONE
96.5,69.596,2.364,89.322,SST,SANDSTONE
97.0,69.96,2.363,88.992,SST,SANDSTONE
97.5,70.275,2.362,88.6,SST,SANDSTONE
98.0,70.531,2.361,88.149,SST,SANDSTONE
98.5,70.721,2.361,87.641,SST,SANDSTONE
99.0,70.835,2.36,87.078,SST,SANDSTONE
99.5,70.871,2.36,86.465,SST,SANDSTONE
100.0,70.824,2.36,85.803,SST,SANDSTONE
100.5,70.694,2.36,85.098,SST,SANDSTONE
101.0,70.482,2.36,84.354,SST,SANDSTONE
101.5,70.192,2.361,83.573,SST,SANDSTONE
102.0,69.83,2.362,82.761,SST,SANDSTONE
102.5,69.403,2.362,81.922,SST,SANDSTONE
103.0,68.921,2.363,81.061,SST,SANDSTONE
103.5,68.394,2.364,80.183,SST,SANDSTONE
104.0,67.835,2.366,79.293,SST,SANDSTONE
104.5,67.257,2.367,78.395,SST,SANDSTONE
105.0,66.673,2.369,77.496,SST,SANDSTONE
105.5,66.096,2.371,76.599,SST,SANDSTONE
106.0,65.54,2.373,75.71,SST,SANDSTONE
106.5,65.018,2.375,74.834,SST,SANDSTONE
107.0,64.542,2.377,73.975,SST,SANDSTONE
107.5,64.123,2.379,73.139,SST,SANDSTONE
108.0,63.769,2.382,72.331,SST,SANDSTONE
108.5,63.488,2.385,71.554,SST,SANDSTONE
109.0,63.286,2.387,70.814,SST,SANDSTONE
109.5,63.166,2.39,70.114,SST,SANDSTONE
110.0,63.129,2.393,69.459,SST,SANDSTONE
110.5,63.174,2.396,68.851,SST,SANDSTONE
111.0,63.298,2.399,68.295,SST,SANDSTONE
111.5,63.496,2.402,67.793,SST,SANDSTONE
112.0,63.76,2.405,67.349,SST,SANDSTONE
112.5,64.082,2.409,66.965,SST,SANDSTONE
113.0,64.45,2.412,66.643,SST,SANDSTONE
113.5,64.854,2.415,66.384,SST,SANDSTONE
114.0,65.28,2.418,66.191,SST,SANDSTONE
114.5,65.716,2.422,66.065,SST,SANDSTONE
115.0,66.147,2.425,66.005,SST,SANDSTONE
115.5,66.562,2.428,66.013,SST,SANDSTONE
116.0,66.947,2.432,66.088,SST,SANDSTONE
116.5,67.291,2.435,66.23,SST,SANDSTONE
117.0,67.583,2.438,66.439,SST,SANDSTONE
117.5,67.814,2.441,66.712,SST,SANDSTONE
118.0,67.978,2.444,67.049,SST,SANDSTONE
118.5,68.068,2.447,67.447,SST,SANDSTONE
119.0,68.081,2.45,67.905,SST,SANDSTONE
119.5,68.017,2.453,68.42,SST,SANDSTONE
120.0,67.876,2.456,68.988,SST,SANDSTONE
120.5,67.662,2.458,69.607,SST,SANDSTONE
121.0,67.381,2.461,70.273,SST,SANDSTONE
121.5,67.039,2.463,70.983,SST,SANDSTONE
122.0,66.646,2.465,71.732,SST,SANDSTONE
122.5,66.212,2.467,72.517,SST,SANDSTONE
123.0,65.75,2.469,73.332,SST,SANDSTONE
123.5,65.271,2.471,74.173,SST,SANDSTONE
124.0,64.789,2.473,75.036,SST,SANDSTONE
124.5,64.318,2.474,75.916,SST,SANDSTONE
125.0,63.87,2.476,76.807,SST,SANDSTONE
125.5,63.459,2.477,77.705,SST,SANDSTONE
126.0,63.096,2.478,78.605,SST,SANDSTONE
126.5,62.792,2.479,79.501,SST,SANDSTONE
127.0,62.555,2.479,80.389,SST,SANDSTONE
127.5,62.394,2.48,81.264,SST,SANDSTONE
128.0,62.313,2.48,82.12,SST,SANDSTONE
128.5,62.316,2.48,82.953,SST,SANDSTONE
129.0,89.403,2.283,35.013,SHALE,SHALE
129.5,89.575,2.279,34.775,SHALE,SHALE
130.0,89.827,2.275,34.567,SANDYSH,SANDY SHALE
130.5,90.154,2.27,34.391,SANDYSH,SANDY SHALE
131.0,68.549,2.075,54.88,INTERCLATION,INTERCLATION
131.5,69.002,2.078,54.28,INTERCLATION,INTERCLATION
132.0,69.503,2.08,53.683,INTERCLATION,INTERCLATION
132.5,92.04,2.255,34.012,SANDYSH,SANDY SHALE
133.0,70.6,2.083,52.506,INTERCLATION,INTERCLATION
133.5,93.17,2.248,34.023,SANDYSH,SANDY SHALE
134.0,93.736,2.245,34.08,SANDYSH,SANDY SHALE
134.5,94.285,2.242,34.17,SANDYSH,SANDY SHALE
135.0,94.804,2.239,34.292,SHALE,SHALE
135.5,73.281,2.092,49.756,INTERCLATION,INTERCLATION
136.0,68.704,2.461,89.998,SANDY SAHLE,SANDY SAHLE
136.5,69.066,2.458,89.982,SANDY SAHLE,SANDY SAHLE
137.0,69.357,2.456,89.899,SANDY SAHLE,SANDY SAHLE
137.5,74.572,2.096,47.882,INTERCLATION,INTERCLATION
138.0,74.708,2.097,47.474,INTERCLATION,INTERCLATION
138.5,96.763,2.23,36.019,SHALE,SHALE
139.0,96.738,2.23,36.376,SHALE,SHALE
139.5,96.636,2.231,36.758,SHALE,SHALE
140.0,96.461,2.231,37.161,SANDYSH,SANDY SHALE
140.5,69.221,2.435,87.519,SST,SANDSTONE
141.0,68.925,2.432,86.945,SST,SANDSTONE
141.5,73.583,2.1,45.443,INTERCLATION,INTERCLATION
142.0,95.207,2.238,38.962,CARBSHL,CARB SHALE
142.5,94.808,2.241,39.449,SHSST,SHALY SANDSTONE
143.0,94.4,2.243,39.947,SHSST,SHALY SANDSTONE
143.5,66.996,2.415,83.393,SST,SANDSTONE
144.0,66.61,2.412,82.575,SST,SANDSTONE
144.5,66.253,2.409,81.731,SST,SANDSTONE
145.0,65.938,2.406,80.866,SST,SANDSTONE
145.5,65.675,2.402,79.985,SST,SANDSTONE
146.0,65.474,2.399,79.092,SST,SANDSTONE
146.5,65.341,2.396,78.194,SST,SANDSTONE
147.0,65.283,2.393,77.294,SST,SANDSTONE
147.5,65.302,2.39,76.399,SST,SANDSTONE
148.0,65.4,2.388,75.512,SST,SANDSTONE
148.5,92.576,2.286,45.519,SHALE,SHALE
149.0,65.827,2.382,73.786,SST,SANDSTONE
149.5,71.147,2.084,47.108,INTERCLATION,INTERCLATION
150.0,71.529,2.083,47.49,INTERCLATION,INTERCLATION
150.5,66.964,2.375,71.385,SANDY SAHLE,SANDY SAHLE
151.0,72.442,2.079,48.335,INTERCLATION,INTERCLATION
151.5,72.951,2.076,48.794,INTERCLATION,INTERCLATION
152.0,73.479,2.074,49.275,INTERCLATION,INTERCLATION
152.5,74.011,2.072,49.777,INTERCLATION,INTERCLATION
153.0,74.535,2.07,50.298,INTERCLATION,INTERCLATION
153.5,75.036,2.068,50.835,INTERCLATION,INTERCLATION
154.0,75.503,2.065,51.388,INTERCLATION,INTERCLATION
154.5,75.923,2.063,51.954,INTERCLATION,INTERCLATION
155.0,76.286,2.06,52.53,INTERCLATION,INTERCLATION
155.5,76.581,2.058,53.116,INTERCLATION,INTERCLATION
156.0,76.802,2.055,53.708,INTERCLATION,INTERCLATION
156.5,76.943,2.053,54.305,INTERCLATION,INTERCLATION
157.0,76.999,2.05,54.904,INTERCLATION,INTERCLATION
157.5,76.97,2.048,55.504,INTERCLATION,INTERCLATION
158.0,76.856,2.045,56.102,INTERCLATION,INTERCLATION
158.5,76.66,2.043,56.696,INTERCLATION,INTERCLATION
159.0,76.388,2.04,57.284,INTERCLATION,INTERCLATION
159.5,71.046,2.362,66.782,SST,SANDSTONE
160.0,70.643,2.363,67.133,SST,SANDSTONE
160.5,41.189,1.363,108.854,SHCOAL,SH COAL
161.0,40.697,1.36,109.708,COAL,COAL
161.5,96.179,2.317,48.715,CARBSHL,CARB SHALE
162.0,95.648,2.314,48.418,SHALE,SHALE
162.5,39.118,1.353,112.791,COAL,COAL
163.0,38.602,1.35,113.962,COAL,COAL
163.5,38.113,1.347,115.187,COAL,COAL
164.0,93.662,2.299,46.975,CARBSHL,CARB SHALE
164.5,37.262,1.34,117.757,COAL,COAL
165.0,36.921,1.337,119.078,COAL,COAL
165.5,65.648,2.384,74.365,SST,SANDSTONE
166.0,92.448,2.283,45.197,SHALE,SHALE
166.5,92.325,2.278,44.714,CARBSHL,CARB SHALE
167.0,36.281,1.325,124.325,COAL,COAL
167.5,92.315,2.27,43.716,CARBSHL,CARB SHALE
168.0,36.424,1.32,126.762,COAL,COAL
168.5,36.604,1.318,127.894,COAL,COAL
169.0,92.848,2.258,42.169,SHSST,SHALY SANDSTONE
169.5,93.148,2.254,41.649,SHSST,SHALY SANDSTONE
170.0,93.492,2.251,41.131,SHSST,SHALY SANDSTONE
170.5,93.87,2.247,40.616,SHSST,SHALY SANDSTONE
171.0,94.27,2.244,40.107,SHSST,SHALY SANDSTONE
171.5,72.678,2.0,64.873,INTERCLATION,INTERCLATION
172.0,39.081,1.31,133.347,COAL,COAL
172.5,39.466,1.31,133.687,SHCOAL,SH COAL
173.0,95.821,2.235,38.173,CARBSHL,CARB SHALE
173.5,40.133,1.311,133.997,COAL,COAL
174.0,96.391,2.232,37.294,SHALE,SHALE
174.5,96.588,2.231,36.884,SHALE,SHALE
175.0,40.714,1.316,133.518,COAL,COAL
175.5,40.764,1.318,133.111,COAL,COAL
176.0,40.734,1.32,132.586,COAL,COAL
176.5,40.624,1.322,131.948,COAL,COAL
177.0,40.434,1.325,131.202,COAL,COAL
177.5,96.166,2.233,34.93,SANDYSH,SANDY SHALE
178.0,95.827,2.234,34.702,SANDYSH,SANDY SHALE
178.5,95.422,2.236,34.504,SANDYSH,SANDY SHALE
179.0,94.961,2.238,34.339,SANDYSH,SANDY SHALE
179.5,94.454,2.241,34.205,SANDYSH,SANDY SHALE
180.0,93.914,2.244,34.105,SANDYSH,SANDY SHALE
180.5,71.352,2.014,58.251,INTERCLATION,INTERCLATION
181.0,70.781,2.016,57.678,INTERCLATION,INTERCLATION
181.5,70.217,2.018,57.096,INTERCLATION,INTERCLATION
182.0,69.671,2.02,56.506,INTERCLATION,INTERCLATION
182.5,69.157,2.022,55.91,INTERCLATION,INTERCLATION
183.0,90.687,2.265,34.207,SHALE,SHALE
183.5,90.273,2.269,34.341,SANDYSH,SANDY SHALE
184.0,33.923,1.364,114.516,SHCOAL,SH COAL
184.5,67.647,2.031,53.517,INTERCLATION,INTERCLATION
185.0,67.449,2.033,52.927,INTERCLATION,INTERCLATION
185.5,67.334,2.035,52.344,INTERCLATION,INTERCLATION
186.0,67.305,2.038,51.77,INTERCLATION,INTERCLATION
186.5,67.359,2.04,51.209,INTERCLATION,INTERCLATION
187.0,67.495,2.043,50.661,INTERCLATION,INTERCLATION
187.5,67.709,2.045,50.128,INTERCLATION,INTERCLATION
188.0,67.992,2.048,49.613,INTERCLATION,INTERCLATION
188.5,68.338,2.05,49.118,INTERCLATION,INTERCLATION
189.0,68.735,2.053,48.643,INTERCLATION,INTERCLATION
189.5,69.172,2.055,48.192,INTERCLATION,INTERCLATION
190.0,69.637,2.057,47.765,INTERCLATION,INTERCLATION
190.5,70.117,2.06,47.364,INTERCLATION,INTERCLATION
191.0,70.598,2.062,46.991,INTERCLATION,INTERCLATION
191.5,66.068,2.468,72.773,SST,SANDSTONE
192.0,66.512,2.466,71.979,SST,SANDSTONE
192.5,66.919,2.464,71.218,SST,SANDSTONE
193.0,67.278,2.461,70.495,SST,SANDSTONE
193.5,67.58,2.459,69.814,SST,SANDSTONE
194.0,67.816,2.456,69.18,SST,SANDSTONE
194.5,67.98,2.454,68.595,SST,SANDSTONE
195.0,68.069,2.451,68.063,SST,SANDSTONE
195.5,68.08,2.448,67.587,SST,SANDSTONE
196.0,68.014,2.445,67.169,SST,SANDSTONE
196.5,67.874,2.442,66.813,SST,SANDSTONE
197.0,67.664,2.439,66.519,SST,SANDSTONE
197.5,67.39,2.436,66.29,SST,SANDSTONE
198.0,67.062,2.433,66.126,SST,SANDSTONE
198.5,66.688,2.429,66.029,SST,SANDSTONE
199.0,66.282,2.426,66.0,SST,SANDSTONE
199.5,65.854,2.423,66.038,SST,SANDSTONE
200.0,65.418,2.419,66.144,SST,SANDSTONE
200.5,35.988,1.311,125.399,SHCOAL,SH COAL
201.0,35.576,1.311,126.6,COAL,COAL
201.5,35.195,1.31,127.741,COAL,COAL
202.0,34.857,1.31,128.813,COAL,COAL
202.5,34.574,1.31,129.805,COAL,COAL
203.0,34.354,1.311,130.709,COAL,COAL
203.5,34.205,1.312,131.516,COAL,COAL
204.0,34.135,1.313,132.219,COAL,COAL
204.5,34.145,1.314,132.812,SHCOAL,SH COAL
205.0,34.239,1.316,133.29,SHCOAL,SH COAL
205.5,34.415,1.318,133.647,COAL,COAL
206.0,34.671,1.32,133.882,COAL,COAL
206.5,35.002,1.323,133.991,COAL,COAL
207.0,35.402,1.325,133.975,COAL,COAL
207.5,35.861,1.328,133.832,COAL,COAL
208.0,92.369,2.244,49.551,CARBSHL,CARB SHALE
208.5,36.916,1.334,133.175,COAL,COAL
209.0,37.487,1.337,132.666,COAL,COAL
209.5,38.071,1.34,132.043,COAL,COAL
210.0,38.653,1.344,131.312,COAL,COAL
210.5,39.219,1.347,130.478,COAL,COAL
211.0,39.757,1.35,129.55,SHCOAL,SH COAL
211.5,40.255,1.353,128.536,COAL,COAL
212.0,40.701,1.355,127.445,COAL,COAL
212.5,41.084,1.358,126.287,COAL,COAL
213.0,41.398,1.36,125.072,COAL,COAL
213.5,75.635,2.08,59.682,INTERCLATION,INTERCLATION
214.0,75.792,2.078,60.203,INTERCLATION,INTERCLATION
214.5,75.865,2.076,60.706,INTERCLATION,INTERCLATION
215.0,75.856,2.074,61.188,INTERCLATION,INTERCLATION
215.5,75.766,2.071,61.648,INTERCLATION,INTERCLATION
216.0,75.599,2.069,62.084,INTERCLATION,INTERCLATION
216.5,75.363,2.067,62.495,INTERCLATION,INTERCLATION
217.0,75.066,2.064,62.878,INTERCLATION,INTERCLATION
217.5,74.717,2.062,63.233,INTERCLATION,INTERCLATION
218.0,74.327,2.059,63.559,INTERCLATION,INTERCLATION
218.5,73.909,2.057,63.854,INTERCLATION,INTERCLATION
219.0,73.476,2.055,64.116,INTERCLATION,INTERCLATION
219.5,73.041,2.052,64.346,INTERCLATION,INTERCLATION
220.0,72.617,2.05,64.543,INTERCLATION,INTERCLATION
220.5,72.218,2.047,64.705,INTERCLATION,INTERCLATION
221.0,71.854,2.045,64.832,INTERCLATION,INTERCLATION
221.5,93.538,2.278,38.02,SHALE,SHALE
222.0,37.279,1.354,106.373,COAL,COAL
222.5,37.085,1.352,106.13,SHCOAL,SH COAL
223.0,36.963,1.349,106.012,COAL,COAL
223.5,92.915,2.295,36.37,CARBSHL,CARB SHALE
224.0,36.945,1.343,106.154,COAL,COAL
224.5,37.053,1.339,106.413,COAL,COAL
225.0,37.235,1.336,106.794,COAL,COAL
225.5,93.487,2.31,35.098,CARBSHL,CARB SHALE
226.0,37.804,1.33,107.91,COAL,COAL
226.5,38.176,1.327,108.634,COAL,COAL
227.0,38.593,1.324,109.461,COAL,COAL
227.5,39.044,1.322,110.383,COAL,COAL
228.0,39.517,1.319,111.391,COAL,COAL
228.5,95.999,2.326,34.078,SHALE,SHALE
229.0,96.477,2.327,34.023,SANDYSH,SANDY SHALE
229.5,96.937,2.328,34.0,SANDYSH,SANDY SHALE
230.0,97.365,2.329,34.012,SANDYSH,SANDY SHALE
230.5,97.751,2.33,34.057,SANDYSH,SANDY SHALE
231.0,98.082,2.33,34.136,SANDYSH,SANDY SHALE
231.5,98.35,2.33,34.248,SANDYSH,SANDY SHALE
232.0,98.545,2.329,34.393,SANDYSH,SANDY SHALE
232.5,98.662,2.328,34.57,SANDYSH,SANDY SHALE
233.0,98.696,2.327,34.779,SHSST,SHALY SANDSTONE
233.5,98.646,2.326,35.018,SANDYSH,SANDY SHALE
234.0,98.511,2.324,35.286,SANDYSH,SANDY SHALE
234.5,76.293,2.0,56.339,INTERCLATION,INTERCLATION
235.0,70.999,2.459,70.339,SST,SANDSTONE
235.5,75.633,2.0,55.143,INTERCLATION,INTERCLATION
236.0,75.204,2.0,54.543,INTERCLATION,INTERCLATION
236.5,74.722,2.0,53.945,INTERCLATION,INTERCLATION
237.0,74.2,2.0,53.351,INTERCLATION,INTERCLATION
237.5,95.648,2.302,37.881,SANDYSH,SANDY SHALE
238.0,95.081,2.299,38.335,SANDYSH,SANDY SHALE
238.5,94.511,2.295,38.804,SANDYSH,SANDY SHALE
239.0,93.953,2.29,39.287,SANDYSH,SANDY SHALE
239.5,93.419,2.286,39.782,SANDYSH,SANDY SHALE
240.0,92.923,2.282,40.286,SHSST,SHALY SANDSTONE
240.5,65.475,2.478,66.017,SST,SANDSTONE
241.0,36.085,1.35,133.609,COAL,COAL
241.5,91.762,2.269,41.833,SHALE,SHALE
242.0,35.513,1.356,132.744,COAL,COAL
242.5,91.342,2.261,42.871,SHALE,SHALE
243.0,35.251,1.361,131.419,SHCOAL,SH COAL
243.5,35.241,1.363,130.6,COAL,COAL
244.0,35.31,1.365,129.684,SHCOAL,SH COAL
244.5,35.454,1.366,128.682,COAL,COAL
245.0,35.666,1.368,127.601,COAL,COAL
